Velocity (m/s),Thrust(kgf),,,
0,3.579204893,,0,35.112
1.202503353,3.517125382,,2.69,34.503
2.405006705,3.450254842,,5.38,33.847
3.607510058,3.378491335,,8.07,33.143
4.810013411,3.301732926,,10.76,32.39
6.012516764,3.219877676,,13.45,31.587
7.215020116,3.132619776,,16.14,30.731
8.421993742,3.040061162,,18.84,29.823
9.624497094,2.941997961,,21.53,28.861
10.82700045,2.83853211,,24.22,27.846
12.0295038,2.729663609,,26.91,26.778
13.23200715,2.615800204,,29.6,25.661
14.43451051,2.49714577,,32.29,24.497
15.63701386,2.373904179,,34.98,23.288
16.83951721,2.24648318,,37.67,22.038
18.04202056,2.114984709,,40.36,20.748
19.24452392,1.979816514,,43.05,19.422
20.44702727,1.840978593,,45.74,18.06
21.64953062,1.698878695,,48.43,16.666
22.85650425,1.553618756,,51.13,15.241
24.0590076,1.405606524,,53.82,13.789
25.26151095,1.254943935,,56.51,12.311
26.4640143,1.102038736,,59.2,10.811
27.66651766,0.947094801,,61.89,9.291
28.86902101,0.790417941,,64.58,7.754
30.07152436,0.632517839,,67.27,6.205
31.27402772,0.473598369,,69.96,4.646
32.47653107,0.314475025,,72.65,3.085
33.67903442,0.155249745,,75.34,1.523
34.88153777,-0.008358818,,78.03,-0.082
